Supplementary Table 3: Cell metadata for cross-species pancreatic islet analysis

Cell_Name	Species	Individual	Cluster_ID	Baron_Cluster_ID
human3_lib3.final_cell_0382	human	human3	ductal	ductal
human3_lib3.final_cell_0383	human	human3	beta	beta
human3_lib3.final_cell_0384	human	human3	alpha	alpha
human3_lib3.final_cell_0385	human	human3	acinar	acinar
human3_lib3.final_cell_0386	human	human3	alpha	alpha
human3_lib3.final_cell_0387	human	human3	beta	beta
human3_lib3.final_cell_0388	human	human3	ductal	ductal
human3_lib3.final_cell_0389	human	human3	beta	beta
human3_lib3.final_cell_0390	human	human3	alpha	alpha
human3_lib3.final_cell_0391	human	human3	beta	beta
human3_lib3.final_cell_0392	human	human3	ductal	ductal
human3_lib3.final_cell_0393	human	human3	acinar	acinar
human3_lib3.final_cell_0394	human	human3	alpha	alpha
human3_lib3.final_cell_0395	human	human3	ductal	beta
human3_lib3.final_cell_0396	human	human3	acinar	acinar
human3_lib3.final_cell_0397	human	human3	alpha	alpha
human3_lib3.final_cell_0398	human	human3	alpha	alpha
human3_lib3.final_cell_0399	human	human3	alpha	alpha
human3_lib3.final_cell_0400	human	human3	removed	alpha
human3_lib3.final_cell_0401	human	human3	beta	beta
human3_lib3.final_cell_0402	human	human3	ductal	ductal
human3_lib3.final_cell_0403	human	human3	beta	beta
human3_lib3.final_cell_0404	human	human3	alpha	alpha
human3_lib3.final_cell_0405	human	human3	alpha	alpha
human3_lib3.final_cell_0406	human	human3	acinar	acinar
human3_lib3.final_cell_0407	human	human3	ductal	ductal
human3_lib3.final_cell_0408	human	human3	beta	beta
human3_lib3.final_cell_0409	human	human3	ductal	ductal
human3_lib3.final_cell_0410	human	human3	alpha	alpha
human3_lib3.final_cell_0411	human	human3	beta	beta
human3_lib3.final_cell_0412	human	human3	beta	beta
human3_lib3.final_cell_0413	human	human3	immune	macrophage
human3_lib3.final_cell_0414	human	human3	beta	beta
human3_lib3.final_cell_0415	human	human3	acinar	acinar
human3_lib3.final_cell_0416	human	human3	acinar	beta
human3_lib3.final_cell_0417	human	human3	ductal	ductal
human3_lib3.final_cell_0418	human	human3	beta	beta
human3_lib3.final_cell_0419	human	human3	beta	beta
human3_lib3.final_cell_0420	human	human3	ductal	ductal
human3_lib3.final_cell_0421	human	human3	alpha	alpha
human3_lib3.final_cell_0422	human	human3	beta	beta
human3_lib3.final_cell_0423	human	human3	alpha	alpha
human3_lib3.final_cell_0424	human	human3	alpha	alpha
human3_lib3.final_cell_0425	human	human3	alpha	alpha
human3_lib3.final_cell_0426	human	human3	alpha	alpha
human3_lib3.final_cell_0427	human	human3	alpha	alpha
human3_lib3.final_cell_0428	human	human3	beta	beta
human3_lib3.final_cell_0429	human	human3	beta	beta
human3_lib3.final_cell_0430	human	human3	alpha	alpha
human3_lib3.final_cell_0431	human	human3	alpha	alpha
human3_lib3.final_cell_0432	human	human3	beta	beta
human3_lib3.final_cell_0433	human	human3	endothelial	endothelial
human3_lib3.final_cell_0434	human	human3	alpha	alpha
human3_lib3.final_cell_0435	human	human3	beta	beta
human3_lib3.final_cell_0436	human	human3	alpha	alpha
human3_lib3.final_cell_0437	human	human3	ductal	ductal
human3_lib3.final_cell_0438	human	human3	endothelial	endothelial
human3_lib3.final_cell_0439	human	human3	alpha	alpha
human3_lib3.final_cell_0440	human	human3	acinar	acinar
human3_lib3.final_cell_0441	human	human3	ductal	ductal
human3_lib3.final_cell_0442	human	human3	stellate	activated_stellate
human3_lib3.final_cell_0443	human	human3	alpha	alpha
human3_lib3.final_cell_0444	human	human3	beta	beta
human3_lib3.final_cell_0445	human	human3	removed	beta
human3_lib3.final_cell_0446	human	human3	alpha	alpha
human3_lib3.final_cell_0447	human	human3	endothelial	endothelial
human3_lib3.final_cell_0448	human	human3	alpha	alpha
human3_lib3.final_cell_0449	human	human3	ductal	ductal
human3_lib3.final_cell_0450	human	human3	delta	delta
human3_lib3.final_cell_0451	human	human3	alpha	alpha
human3_lib3.final_cell_0452	human	human3	alpha	alpha
human3_lib3.final_cell_0453	human	human3	acinar	acinar
human3_lib3.final_cell_0454	human	human3	ductal	ductal
human3_lib3.final_cell_0455	human	human3	alpha	alpha
human3_lib3.final_cell_0456	human	human3	alpha	alpha
human3_lib3.final_cell_0457	human	human3	alpha	alpha
human3_lib3.final_cell_0458	human	human3	alpha	alpha
human3_lib3.final_cell_0459	human	human3	ductal	ductal
human3_lib3.final_cell_0460	human	human3	alpha	alpha
human3_lib3.final_cell_0461	human	human3	ductal	ductal
human3_lib3.final_cell_0462	human	human3	alpha	alpha
human3_lib3.final_cell_0463	human	human3	alpha	alpha
human3_lib3.final_cell_0464	human	human3	beta	beta
human3_lib3.final_cell_0465	human	human3	beta_er_stress	beta
human3_lib3.final_cell_0466	human	human3	beta	beta
human3_lib3.final_cell_0467	human	human3	acinar	acinar
human3_lib3.final_cell_0468	human	human3	alpha	alpha
human3_lib3.final_cell_0469	human	human3	alpha	alpha
human3_lib3.final_cell_0470	human	human3	alpha	alpha
human3_lib3.final_cell_0471	human	human3	ductal	ductal
human3_lib3.final_cell_0472	human	human3	alpha	alpha
human3_lib3.final_cell_0473	human	human3	acinar	acinar
human3_lib3.final_cell_0474	human	human3	alpha	alpha
human3_lib3.final_cell_0475	human	human3	beta	beta
human3_lib3.final_cell_0476	human	human3	beta	beta
human3_lib3.final_cell_0477	human	human3	delta	delta
human3_lib3.final_cell_0478	human	human3	acinar	acinar
human3_lib3.final_cell_0479	human	human3	alpha	alpha
human3_lib3.final_cell_0480	human	human3	alpha	alpha
human3_lib3.final_cell_0481	human	human3	beta	beta
human3_lib3.final_cell_0482	human	human3	alpha	alpha
human3_lib3.final_cell_0483	human	human3	stellate	acinar
human3_lib3.final_cell_0484	human	human3	alpha	gamma
human3_lib3.final_cell_0485	human	human3	alpha	alpha
human3_lib3.final_cell_0486	human	human3	alpha	alpha
human3_lib3.final_cell_0487	human	human3	beta	beta
human3_lib3.final_cell_0488	human	human3	alpha	alpha
human3_lib3.final_cell_0489	human	human3	beta	beta
human3_lib3.final_cell_0490	human	human3	ductal	ductal
human3_lib3.final_cell_0491	human	human3	ductal	ductal
human3_lib3.final_cell_0492	human	human3	alpha	alpha
human3_lib3.final_cell_0493	human	human3	beta	beta
human3_lib3.final_cell_0494	human	human3	alpha	alpha
human3_lib3.final_cell_0495	human	human3	acinar	acinar
human3_lib3.final_cell_0496	human	human3	ductal	ductal
human3_lib3.final_cell_0497	human	human3	alpha	alpha
human3_lib3.final_cell_0498	human	human3	alpha	alpha
human3_lib3.final_cell_0499	human	human3	alpha	alpha
human3_lib3.final_cell_0500	human	human3	alpha	alpha
human3_lib3.final_cell_0501	human	human3	beta	beta
human3_lib3.final_cell_0502	human	human3	alpha	alpha
human3_lib3.final_cell_0503	human	human3	removed	beta
human3_lib3.final_cell_0504	human	human3	beta	beta
human3_lib3.final_cell_0505	human	human3	alpha	alpha
human3_lib3.final_cell_0506	human	human3	alpha	alpha
human3_lib3.final_cell_0507	human	human3	beta	beta
human3_lib3.final_cell_0508	human	human3	alpha	alpha
human3_lib3.final_cell_0509	human	human3	alpha	alpha
human3_lib3.final_cell_0510	human	human3	alpha	alpha
human3_lib3.final_cell_0511	human	human3	alpha	alpha
human3_lib3.final_cell_0512	human	human3	alpha	alpha
human3_lib3.final_cell_0513	human	human3	alpha	alpha
human3_lib3.final_cell_0514	human	human3	beta	beta
human3_lib3.final_cell_0515	human	human3	beta	beta
human3_lib3.final_cell_0516	human	human3	stellate	activated_stellate
human3_lib3.final_cell_0517	human	human3	endothelial	endothelial
human3_lib3.final_cell_0518	human	human3	stellate	activated_stellate
human3_lib3.final_cell_0519	human	human3	stellate	activated_stellate
human3_lib3.final_cell_0520	human	human3	beta	beta
human3_lib3.final_cell_0521	human	human3	ductal	ductal
human3_lib3.final_cell_0522	human	human3	ductal	ductal
human3_lib3.final_cell_0523	human	human3	stellate	activated_stellate
human3_lib3.final_cell_0524	human	human3	ductal	ductal
human3_lib3.final_cell_0525	human	human3	acinar	acinar
human3_lib3.final_cell_0526	human	human3	alpha	alpha
human3_lib3.final_cell_0527	human	human3	beta	beta
human3_lib3.final_cell_0528	human	human3	ductal	ductal
human3_lib3.final_cell_0529	human	human3	gamma	gamma
human3_lib3.final_cell_0530	human	human3	stellate	activated_stellate
human3_lib3.final_cell_0531	human	human3	beta	beta
human3_lib3.final_cell_0532	human	human3	delta	delta
human3_lib3.final_cell_0533	human	human3	alpha	alpha
human3_lib3.final_cell_0534	human	human3	beta	beta
human3_lib3.final_cell_0535	human	human3	alpha	alpha
human3_lib3.final_cell_0536	human	human3	acinar	acinar
human3_lib3.final_cell_0537	human	human3	acinar	acinar
human3_lib3.final_cell_0538	human	human3	alpha	alpha
human3_lib3.final_cell_0539	human	human3	alpha	alpha
human3_lib3.final_cell_0540	human	human3	ductal	ductal
human3_lib3.final_cell_0541	human	human3	delta	ductal
human3_lib3.final_cell_0542	human	human3	beta	beta
human3_lib3.final_cell_0543	human	human3	alpha	alpha
human3_lib3.final_cell_0544	human	human3	alpha	alpha
human3_lib3.final_cell_0545	human	human3	alpha	alpha
human3_lib3.final_cell_0546	human	human3	ductal	ductal
human3_lib3.final_cell_0547	human	human3	ductal	ductal
human3_lib3.final_cell_0548	human	human3	alpha	alpha
human3_lib3.final_cell_0549	human	human3	beta	beta
human3_lib3.final_cell_0550	human	human3	alpha	alpha
human3_lib3.final_cell_0551	human	human3	acinar	acinar
human3_lib3.final_cell_0552	human	human3	alpha	alpha
human3_lib3.final_cell_0553	human	human3	beta	beta
human3_lib3.final_cell_0554	human	human3	stellate	activated_stellate
human3_lib3.final_cell_0555	human	human3	beta	beta
human3_lib3.final_cell_0556	human	human3	beta	beta
human3_lib3.final_cell_0557	human	human3	alpha	alpha
human3_lib3.final_cell_0558	human	human3	ductal	ductal
human3_lib3.final_cell_0559	human	human3	alpha	alpha
human3_lib3.final_cell_0560	human	human3	acinar	acinar
human3_lib3.final_cell_0561	human	human3	alpha	alpha
human3_lib3.final_cell_0562	human	human3	gamma	gamma
human3_lib3.final_cell_0563	human	human3	delta	delta
human3_lib3.final_cell_0564	human	human3	stellate	activated_stellate
human3_lib3.final_cell_0565	human	human3	alpha	alpha
human3_lib3.final_cell_0566	human	human3	alpha	alpha
human3_lib3.final_cell_0567	human	human3	alpha	alpha
human3_lib3.final_cell_0568	human	human3	alpha	alpha
human3_lib3.final_cell_0569	human	human3	alpha	alpha
human3_lib3.final_cell_0570	human	human3	acinar	acinar
human3_lib3.final_cell_0571	human	human3	alpha	alpha
human3_lib3.final_cell_0572	human	human3	delta	delta
human3_lib3.final_cell_0573	human	human3	alpha	alpha
human3_lib3.final_cell_0574	human	human3	beta	beta
human3_lib3.final_cell_0575	human	human3	alpha	alpha
human3_lib3.final_cell_0576	human	human3	ductal	ductal
human3_lib3.final_cell_0577	human	human3	alpha	alpha
human3_lib3.final_cell_0578	human	human3	alpha	alpha
human3_lib3.final_cell_0579	human	human3	beta	beta
human3_lib3.final_cell_0580	human	human3	alpha	alpha
human3_lib3.final_cell_0581	human	human3	stellate	quiescent_stellate
human3_lib3.final_cell_0582	human	human3	alpha	alpha
human3_lib3.final_cell_0583	human	human3	beta	beta
human3_lib3.final_cell_0584	human	human3	beta	delta
human3_lib3.final_cell_0585	human	human3	alpha	alpha
human3_lib3.final_cell_0586	human	human3	acinar	acinar
human3_lib3.final_cell_0587	human	human3	alpha	alpha
human3_lib3.final_cell_0588	human	human3	ductal	ductal
human3_lib3.final_cell_0589	human	human3	beta	beta
human3_lib3.final_cell_0590	human	human3	alpha	alpha
human3_lib3.final_cell_0591	human	human3	beta	beta
human3_lib3.final_cell_0592	human	human3	removed	beta
human3_lib3.final_cell_0593	human	human3	acinar	acinar
human3_lib3.final_cell_0594	human	human3	beta	beta
human3_lib3.final_cell_0595	human	human3	alpha	alpha
human3_lib3.final_cell_0596	human	human3	endothelial	endothelial
human3_lib3.final_cell_0597	human	human3	ductal	ductal
human3_lib3.final_cell_0598	human	human3	alpha	alpha
human3_lib3.final_cell_0599	human	human3	alpha	alpha
human3_lib3.final_cell_0600	human	human3	alpha	alpha
human3_lib3.final_cell_0601	human	human3	alpha	alpha
human3_lib3.final_cell_0602	human	human3	delta	delta
human3_lib3.final_cell_0603	human	human3	acinar	acinar
human3_lib3.final_cell_0604	human	human3	beta	beta
human3_lib3.final_cell_0605	human	human3	beta	beta
human3_lib3.final_cell_0606	human	human3	alpha	alpha
human3_lib3.final_cell_0607	human	human3	acinar	acinar
human3_lib3.final_cell_0608	human	human3	stellate	activated_stellate
human3_lib3.final_cell_0609	human	human3	alpha	alpha
human3_lib3.final_cell_0610	human	human3	acinar	acinar
human3_lib3.final_cell_0611	human	human3	alpha	alpha
human3_lib3.final_cell_0612	human	human3	alpha	alpha
human3_lib3.final_cell_0613	human	human3	acinar	acinar
human3_lib3.final_cell_0614	human	human3	gamma	gamma
human3_lib3.final_cell_0615	human	human3	alpha	alpha
human3_lib3.final_cell_0616	human	human3	alpha	alpha
human3_lib3.final_cell_0617	human	human3	stellate	acinar
human3_lib3.final_cell_0618	human	human3	alpha	alpha
human3_lib3.final_cell_0619	human	human3	alpha	alpha
human3_lib3.final_cell_0620	human	human3	alpha	alpha
human3_lib3.final_cell_0621	human	human3	ductal	epsilon
human3_lib3.final_cell_0622	human	human3	alpha	alpha
human3_lib3.final_cell_0623	human	human3	alpha	alpha
human3_lib3.final_cell_0624	human	human3	alpha	alpha
human3_lib3.final_cell_0625	human	human3	delta	delta
human3_lib3.final_cell_0626	human	human3	ductal	ductal
human3_lib3.final_cell_0627	human	human3	alpha	alpha
human3_lib3.final_cell_0628	human	human3	ductal	ductal
human3_lib3.final_cell_0629	human	human3	beta	beta
human3_lib3.final_cell_0630	human	human3	alpha	alpha
human3_lib3.final_cell_0631	human	human3	alpha	alpha
human3_lib3.final_cell_0632	human	human3	alpha	alpha
human3_lib3.final_cell_0633	human	human3	alpha	alpha
human3_lib3.final_cell_0634	human	human3	beta	beta
human3_lib3.final_cell_0635	human	human3	alpha	alpha
human3_lib3.final_cell_0636	human	human3	alpha	alpha
human3_lib3.final_cell_0637	human	human3	acinar	acinar
human3_lib3.final_cell_0638	human	human3	ductal	ductal
human3_lib3.final_cell_0639	human	human3	alpha	endothelial
human3_lib3.final_cell_0640	human	human3	ductal	ductal
human3_lib3.final_cell_0641	human	human3	acinar	acinar
human3_lib3.final_cell_0642	human	human3	acinar	acinar
human3_lib3.final_cell_0643	human	human3	alpha	alpha
human3_lib3.final_cell_0644	human	human3	alpha	alpha
human3_lib3.final_cell_0645	human	human3	alpha	alpha
human3_lib3.final_cell_0646	human	human3	acinar	acinar
human3_lib3.final_cell_0647	human	human3	alpha	alpha
human3_lib3.final_cell_0648	human	human3	alpha	alpha
human3_lib3.final_cell_0649	human	human3	stellate	activated_stellate
human3_lib3.final_cell_0650	human	human3	alpha	alpha
human3_lib3.final_cell_0651	human	human3	ductal	acinar
human3_lib3.final_cell_0652	human	human3	alpha	alpha
human3_lib3.final_cell_0653	human	human3	beta	beta
human3_lib3.final_cell_0654	human	human3	ductal	ductal
human3_lib3.final_cell_0655	human	human3	alpha	alpha
human3_lib3.final_cell_0656	human	human3	beta	beta
human3_lib3.final_cell_0657	human	human3	alpha	alpha
human3_lib3.final_cell_0658	human	human3	alpha	alpha
human3_lib3.final_cell_0659	human	human3	alpha	alpha
human3_lib3.final_cell_0660	human	human3	beta	beta
human3_lib3.final_cell_0661	human	human3	acinar	acinar
human3_lib3.final_cell_0662	human	human3	alpha	alpha
human3_lib3.final_cell_0663	human	human3	alpha	alpha
human3_lib3.final_cell_0664	human	human3	acinar	acinar
human3_lib3.final_cell_0665	human	human3	delta	delta
human3_lib3.final_cell_0666	human	human3	alpha	alpha
human3_lib3.final_cell_0667	human	human3	alpha	alpha
human3_lib3.final_cell_0668	human	human3	alpha	alpha
human3_lib3.final_cell_0669	human	human3	stellate	activated_stellate
human3_lib3.final_cell_0670	human	human3	alpha	beta
human3_lib3.final_cell_0671	human	human3	beta	beta
human3_lib3.final_cell_0672	human	human3	alpha	alpha
human3_lib3.final_cell_0673	human	human3	delta	delta
human3_lib3.final_cell_0674	human	human3	ductal	ductal
human3_lib3.final_cell_0675	human	human3	beta	beta
human3_lib3.final_cell_0676	human	human3	alpha	alpha
human3_lib3.final_cell_0677	human	human3	ductal	ductal
human3_lib3.final_cell_0678	human	human3	alpha	alpha
human3_lib3.final_cell_0679	human	human3	alpha	alpha
human3_lib3.final_cell_0680	human	human3	acinar	acinar
human3_lib3.final_cell_0681	human	human3	removed	gamma
human3_lib3.final_cell_0682	human	human3	stellate	activated_stellate
human3_lib3.final_cell_0683	human	human3	beta	beta
human3_lib3.final_cell_0684	human	human3	acinar	acinar
human3_lib3.final_cell_0685	human	human3	acinar	acinar
human3_lib3.final_cell_0686	human	human3	alpha	alpha
human3_lib3.final_cell_0687	human	human3	beta	beta
human3_lib3.final_cell_0688	human	human3	alpha	alpha
human3_lib3.final_cell_0689	human	human3	beta	beta
human3_lib3.final_cell_0690	human	human3	beta	beta
human3_lib3.final_cell_0691	human	human3	alpha	alpha
human3_lib3.final_cell_0692	human	human3	alpha	alpha
human3_lib3.final_cell_0693	human	human3	ductal	ductal
human3_lib3.final_cell_0694	human	human3	ductal	ductal
human3_lib3.final_cell_0695	human	human3	stellate	activated_stellate
human3_lib3.final_cell_0696	human	human3	acinar	acinar
human3_lib3.final_cell_0697	human	human3	beta	beta
human3_lib3.final_cell_0698	human	human3	beta	beta
human3_lib3.final_cell_0699	human	human3	acinar	acinar
human3_lib3.final_cell_0700	human	human3	beta	beta
human3_lib3.final_cell_0701	human	human3	alpha	alpha
human3_lib3.final_cell_0702	human	human3	stellate	activated_stellate
human3_lib3.final_cell_0703	human	human3	acinar	acinar
human3_lib3.final_cell_0704	human	human3	alpha	alpha
human3_lib3.final_cell_0705	human	human3	ductal	ductal
human3_lib3.final_cell_0706	human	human3	beta	beta
human3_lib3.final_cell_0707	human	human3	alpha	alpha
human3_lib3.final_cell_0708	human	human3	alpha	alpha
human3_lib3.final_cell_0709	human	human3	beta	beta
human3_lib3.final_cell_0710	human	human3	alpha	alpha
human3_lib3.final_cell_0711	human	human3	alpha	alpha
human3_lib3.final_cell_0712	human	human3	acinar	acinar
human3_lib3.final_cell_0713	human	human3	alpha	alpha
human3_lib3.final_cell_0714	human	human3	alpha	alpha
human3_lib3.final_cell_0715	human	human3	alpha	alpha
human3_lib3.final_cell_0716	human	human3	beta	beta
human3_lib3.final_cell_0717	human	human3	alpha	alpha
human3_lib3.final_cell_0718	human	human3	beta	beta
human3_lib3.final_cell_0719	human	human3	ductal	ductal
human3_lib3.final_cell_0720	human	human3	alpha	alpha
human3_lib3.final_cell_0721	human	human3	beta	alpha
human3_lib3.final_cell_0722	human	human3	ductal	ductal
human3_lib3.final_cell_0723	human	human3	acinar	acinar
human3_lib3.final_cell_0724	human	human3	ductal	ductal
human3_lib3.final_cell_0725	human	human3	acinar	acinar
human3_lib3.final_cell_0726	human	human3	acinar	acinar
human3_lib3.final_cell_0727	human	human3	beta	beta
human3_lib3.final_cell_0728	human	human3	acinar	acinar
human3_lib3.final_cell_0729	human	human3	acinar	alpha
human3_lib3.final_cell_0730	human	human3	alpha	alpha
human3_lib3.final_cell_0731	human	human3	ductal	ductal
human3_lib3.final_cell_0732	human	human3	alpha	alpha
human3_lib3.final_cell_0733	human	human3	alpha	alpha
human3_lib3.final_cell_0734	human	human3	stellate	activated_stellate
human3_lib3.final_cell_0735	human	human3	acinar	acinar
human3_lib3.final_cell_0736	human	human3	acinar	acinar
human3_lib3.final_cell_0737	human	human3	alpha	alpha
human3_lib3.final_cell_0738	human	human3	acinar	acinar
human3_lib3.final_cell_0739	human	human3	alpha	alpha
human3_lib3.final_cell_0740	human	human3	alpha	alpha
human3_lib3.final_cell_0741	human	human3	acinar	beta
human3_lib3.final_cell_0742	human	human3	alpha	alpha
human3_lib3.final_cell_0743	human	human3	ductal	ductal
human3_lib3.final_cell_0744	human	human3	endothelial	endothelial
human3_lib3.final_cell_0745	human	human3	acinar	acinar
human3_lib3.final_cell_0746	human	human3	alpha	alpha
human3_lib3.final_cell_0747	human	human3	ductal	ductal
human3_lib3.final_cell_0748	human	human3	ductal	ductal
human3_lib3.final_cell_0749	human	human3	ductal	ductal
human3_lib3.final_cell_0750	human	human3	alpha	alpha
human3_lib3.final_cell_0751	human	human3	alpha	alpha
human3_lib3.final_cell_0752	human	human3	alpha	alpha
human3_lib3.final_cell_0753	human	human3	immune	macrophage
human3_lib3.final_cell_0754	human	human3	ductal	ductal
human3_lib3.final_cell_0755	human	human3	alpha	alpha
human3_lib3.final_cell_0756	human	human3	alpha	alpha
human3_lib3.final_cell_0757	human	human3	alpha	alpha
human3_lib3.final_cell_0758	human	human3	alpha	alpha
human3_lib3.final_cell_0759	human	human3	stellate	activated_stellate
human3_lib3.final_cell_0760	human	human3	alpha	alpha
human3_lib3.final_cell_0761	human	human3	alpha	alpha
human3_lib3.final_cell_0762	human	human3	ductal	ductal
human3_lib3.final_cell_0763	human	human3	alpha	alpha
human3_lib3.final_cell_0764	human	human3	alpha	alpha
human3_lib3.final_cell_0765	human	human3	alpha	alpha
human3_lib3.final_cell_0766	human	human3	ductal	ductal
human3_lib3.final_cell_0767	human	human3	alpha	alpha
human3_lib3.final_cell_0768	human	human3	alpha	alpha
human3_lib3.final_cell_0769	human	human3	alpha	alpha
human3_lib3.final_cell_0770	human	human3	removed	alpha
human3_lib3.final_cell_0771	human	human3	alpha	alpha
human3_lib3.final_cell_0772	human	human3	alpha	alpha
human3_lib3.final_cell_0773	human	human3	alpha	alpha
human3_lib3.final_cell_0774	human	human3	endothelial	endothelial
human3_lib3.final_cell_0775	human	human3	beta	beta
human3_lib3.final_cell_0776	human	human3	beta	beta
human3_lib3.final_cell_0777	human	human3	ductal	ductal
human3_lib3.final_cell_0778	human	human3	beta	beta
human3_lib3.final_cell_0779	human	human3	alpha	alpha
human3_lib3.final_cell_0780	human	human3	beta	beta
human3_lib3.final_cell_0781	human	human3	delta	delta
human3_lib3.final_cell_0782	human	human3	acinar	acinar
human3_lib3.final_cell_0783	human	human3	alpha	alpha
human3_lib3.final_cell_0784	human	human3	acinar	acinar
human3_lib3.final_cell_0785	human	human3	ductal	ductal
human3_lib3.final_cell_0786	human	human3	beta	beta
human3_lib3.final_cell_0787	human	human3	ductal	ductal
human3_lib3.final_cell_0788	human	human3	gamma	gamma
human3_lib3.final_cell_0789	human	human3	acinar	acinar
human3_lib3.final_cell_0790	human	human3	beta	beta
human3_lib3.final_cell_0791	human	human3	alpha	alpha
human3_lib3.final_cell_0792	human	human3	alpha	alpha
human3_lib3.final_cell_0793	human	human3	beta	beta
human3_lib3.final_cell_0794	human	human3	beta	beta
human3_lib3.final_cell_0795	human	human3	acinar	acinar
human3_lib3.final_cell_0796	human	human3	alpha	alpha
human3_lib3.final_cell_0797	human	human3	alpha	alpha
human3_lib3.final_cell_0798	human	human3	alpha	alpha
human3_lib3.final_cell_0799	human	human3	alpha	alpha
human3_lib3.final_cell_0800	human	human3	delta	delta
human3_lib3.final_cell_0801	human	human3	alpha	alpha
human3_lib3.final_cell_0803	human	human3	acinar	acinar
human3_lib3.final_cell_0804	human	human3	alpha	alpha
human3_lib3.final_cell_0805	human	human3	alpha	alpha
human3_lib3.final_cell_0806	human	human3	stellate	activated_stellate
human3_lib3.final_cell_0807	human	human3	endothelial	endothelial
human3_lib3.final_cell_0808	human	human3	beta	beta
human3_lib3.final_cell_0809	human	human3	acinar	acinar
human3_lib3.final_cell_0810	human	human3	delta	delta
human3_lib3.final_cell_0811	human	human3	removed	beta
human3_lib3.final_cell_0812	human	human3	alpha	alpha
human3_lib3.final_cell_0813	human	human3	alpha	alpha
human3_lib3.final_cell_0814	human	human3	alpha	alpha
human3_lib3.final_cell_0815	human	human3	beta	beta
human3_lib3.final_cell_0816	human	human3	endothelial	endothelial
human3_lib3.final_cell_0817	human	human3	alpha	alpha
human3_lib3.final_cell_0818	human	human3	acinar	acinar
human3_lib3.final_cell_0820	human	human3	ductal	ductal
human3_lib3.final_cell_0821	human	human3	alpha	alpha
human3_lib3.final_cell_0822	human	human3	endothelial	endothelial
human3_lib3.final_cell_0823	human	human3	ductal	ductal
human3_lib3.final_cell_0824	human	human3	alpha	alpha
human3_lib3.final_cell_0825	human	human3	beta	alpha
human3_lib3.final_cell_0826	human	human3	alpha	alpha
human3_lib3.final_cell_0827	human	human3	alpha	alpha
human3_lib3.final_cell_0828	human	human3	alpha	alpha
human3_lib3.final_cell_0829	human	human3	delta	delta
human3_lib3.final_cell_0830	human	human3	stellate	quiescent_stellate
human3_lib3.final_cell_0831	human	human3	removed	alpha
human3_lib3.final_cell_0832	human	human3	beta	beta
human3_lib3.final_cell_0833	human	human3	ductal	ductal
human3_lib3.final_cell_0834	human	human3	alpha	alpha
human3_lib3.final_cell_0835	human	human3	endothelial	endothelial
human3_lib3.final_cell_0836	human	human3	alpha	alpha
human3_lib3.final_cell_0837	human	human3	alpha	alpha
human3_lib3.final_cell_0838	human	human3	beta	alpha
human3_lib3.final_cell_0839	human	human3	alpha	alpha
human3_lib3.final_cell_0840	human	human3	acinar	acinar
human3_lib3.final_cell_0841	human	human3	endothelial	endothelial
human3_lib3.final_cell_0842	human	human3	ductal	ductal
human3_lib3.final_cell_0843	human	human3	alpha	alpha
human3_lib3.final_cell_0844	human	human3	beta	beta
human3_lib3.final_cell_0845	human	human3	beta	beta
human3_lib3.final_cell_0846	human	human3	alpha	alpha
human3_lib3.final_cell_0847	human	human3	beta	beta
human3_lib3.final_cell_0848	human	human3	alpha	alpha
human3_lib3.final_cell_0849	human	human3	beta	beta
human3_lib3.final_cell_0850	human	human3	beta	beta
human3_lib3.final_cell_0851	human	human3	acinar	acinar
human3_lib3.final_cell_0852	human	human3	beta	beta
human3_lib3.final_cell_0853	human	human3	beta	beta
human3_lib3.final_cell_0854	human	human3	beta	beta
human3_lib3.final_cell_0855	human	human3	immune	macrophage
human3_lib3.final_cell_0856	human	human3	stellate	quiescent_stellate
human3_lib3.final_cell_0857	human	human3	alpha	alpha
human3_lib3.final_cell_0858	human	human3	ductal	ductal
human3_lib3.final_cell_0859	human	human3	ductal	ductal
human3_lib3.final_cell_0860	human	human3	endothelial	endothelial
human3_lib3.final_cell_0861	human	human3	beta	beta
human3_lib3.final_cell_0862	human	human3	stellate	quiescent_stellate
human3_lib3.final_cell_0863	human	human3	endothelial	endothelial
human3_lib3.final_cell_0864	human	human3	alpha	alpha
human3_lib3.final_cell_0865	human	human3	beta	alpha
human3_lib3.final_cell_0866	human	human3	immune	t_cell
human3_lib3.final_cell_0867	human	human3	removed	alpha
human3_lib3.final_cell_0868	human	human3	beta	alpha
human3_lib3.final_cell_0869	human	human3	beta	beta
human3_lib3.final_cell_0870	human	human3	beta	beta
human3_lib3.final_cell_0871	human	human3	beta	beta
human3_lib3.final_cell_0872	human	human3	beta	beta
human3_lib3.final_cell_0873	human	human3	beta	beta
human3_lib3.final_cell_0874	human	human3	alpha	alpha
human3_lib3.final_cell_0875	human	human3	alpha	alpha
human3_lib3.final_cell_0876	human	human3	acinar	acinar
human3_lib3.final_cell_0877	human	human3	beta	beta
human3_lib3.final_cell_0878	human	human3	beta	beta
human3_lib3.final_cell_0879	human	human3	beta	beta
human3_lib3.final_cell_0880	human	human3	stellate	quiescent_stellate
human3_lib3.final_cell_0881	human	human3	delta	delta
human3_lib3.final_cell_0882	human	human3	endothelial	endothelial
human3_lib3.final_cell_0883	human	human3	immune	macrophage
human3_lib3.final_cell_0884	human	human3	ductal	ductal
human3_lib3.final_cell_0886	human	human3	beta	alpha
